iter	Logloss
0	0.6618824494
1	0.6341069539
2	0.6061129448
3	0.5888974116
4	0.5699994992
5	0.5523945735
6	0.5324258071
7	0.511683244
8	0.4991372915
9	0.4819145203
10	0.4684246748
11	0.4548656757
12	0.4425191635
13	0.4272252596
14	0.4132232177
15	0.3996629959
16	0.3865399727
17	0.3767821239
18	0.3645954377
19	0.3540352063
20	0.345336425
21	0.3364707751
22	0.3301987526
23	0.3232472493
24	0.3135090852
25	0.307695022
26	0.2993382185
27	0.2944745284
28	0.2865396157
29	0.27978007
30	0.274142192
31	0.2685204041
32	0.2643889158
33	0.2599921104
34	0.2562427276
35	0.2505689768
36	0.2456873136
37	0.2418204577
38	0.2385058281
39	0.2334362421
40	0.2300058512
41	0.2264513358
42	0.2233739021
43	0.2192800228
44	0.2153891783
45	0.2104862898
46	0.2068323233
47	0.2027445084
48	0.1978388566
49	0.1940360314
50	0.1902081661
51	0.1876105162
52	0.1842734875
53	0.1816490124
54	0.1783210803
55	0.1753660104
56	0.172772701
57	0.1689350666
58	0.1660847542
59	0.1636196161
60	0.1613981296
61	0.1582862169
62	0.1558138285
63	0.1535655046
64	0.1512991343
65	0.1485548264
66	0.1455837886
67	0.1436541753
68	0.1411445324
69	0.1383744142
70	0.1364863469
71	0.1337900529
72	0.1316210307
73	0.1294539525
74	0.127329215
75	0.1254325524
76	0.1231443699
77	0.1208619582
78	0.118826964
79	0.1173278124
80	0.1149926675
81	0.1132751122
82	0.1110859162
83	0.1093031321
84	0.1077171595
85	0.1064167879
86	0.105009348
87	0.1036946712
88	0.1023947337
89	0.1008741794
90	0.09954015414
91	0.09834395922
92	0.09721771876
93	0.09582691926
94	0.09452520884
95	0.09328699723
96	0.09222341195
97	0.09128330915
98	0.09003307269
99	0.0890835493
