iter	Passed	Remaining
0	1	189
1	4	214
2	6	194
3	7	189
4	9	174
5	10	169
6	12	166
7	13	157
8	15	154
9	16	151
10	18	147
11	19	143
12	20	138
13	21	133
14	23	130
15	24	126
16	25	122
17	26	118
18	26	114
19	28	112
20	29	110
21	30	108
22	31	105
23	32	103
24	33	100
25	35	99
26	36	98
27	37	96
28	38	94
29	39	92
30	40	89
31	41	88
32	43	88
33	44	86
34	45	83
35	46	82
36	47	80
37	48	78
38	49	77
39	51	76
40	52	75
41	53	73
42	54	72
43	56	71
44	57	70
45	58	68
46	59	67
47	60	65
48	61	64
49	62	62
50	63	60
51	64	59
52	65	57
53	66	56
54	67	55
55	68	53
56	69	52
57	70	51
58	71	49
59	72	48
60	73	47
61	75	46
62	76	44
63	77	43
64	79	42
65	79	41
66	81	40
67	82	38
68	84	37
69	85	36
70	87	35
71	88	34
72	89	33
73	90	31
74	91	30
75	92	29
76	93	28
77	94	26
78	95	25
79	97	24
80	98	23
81	99	21
82	100	20
83	101	19
84	102	18
85	103	16
86	104	15
87	105	14
88	106	13
89	107	11
90	108	10
91	109	9
92	110	8
93	112	7
94	113	5
95	114	4
96	115	3
97	116	2
98	117	1
99	118	0
